Date,true-y,linear,rbf,poly
2019-09-18,5.4865,5.494039211605753,5.491967380886443,5.48910789602297
2019-09-19,5.505,5.5024565996399355,5.500610420744496,5.497328642045757
2019-09-20,5.5041,5.502516459484274,5.500290446409344,5.499166588843031
2019-09-23,5.4714,5.485692103685363,5.483116885048582,5.48196478797879
2019-09-24,5.4761,5.478708011241662,5.476869761744154,5.472383709531584
2019-09-25,5.475,5.4658094598942775,5.463507110314743,5.461035122097677
2019-09-26,5.445,5.449466391973192,5.446980244210671,5.444422915398556
2019-09-27,5.49,5.474213547966755,5.472932299350136,5.466077453477656
2019-09-30,5.435,5.43708297370148,5.434529441855275,5.434205016687833
2019-10-01,5.365,5.397300923790921,5.395860937414432,5.38876794905059
2019-10-02,5.415,5.3938660006603625,5.39347344963943,5.381243967388893
2019-10-03,5.42,5.387892323298561,5.386178335707849,5.38149037687919
2019-10-04,5.4155,5.41424142811343,5.412484405915706,5.405813043222508
2019-10-07,5.39,5.399045015938685,5.397133863612609,5.390540526963543
2019-10-08,5.48,5.4531772762108845,5.452934292044902,5.441992119931403
2019-10-09,5.43,5.430647982463252,5.42942096678196,5.428500362899932
2019-10-10,5.4425,5.463196649548584,5.462263025060901,5.453564751274408
2019-10-11,5.3907,5.405166516888378,5.40267783503571,5.399756404880382
2019-10-14,5.425,5.42178357003352,5.420935813984975,5.411325035207635
2019-10-15,5.4418,5.421189576503137,5.4194640926072895,5.415350315077292
2019-10-16,5.4425,5.442448809858623,5.440589193237998,5.436406678149159
2019-10-17,5.4,5.419122250523034,5.416791544960581,5.413169659139242
2019-10-18,5.47,5.455262995867615,5.454696534070589,5.445276379456905
2019-10-21,5.465,5.450675031076742,5.449135370802611,5.448148825045979
2019-10-22,5.4375,5.459403225868982,5.457214655167318,5.453987444448157
2019-10-23,5.485,5.478505222296023,5.477368073673853,5.4709444883378
2019-10-24,5.48,5.472936728043651,5.470912371652669,5.470473211919482
2019-10-25,5.48,5.489855873430548,5.487836248437665,5.48508987065557
2019-10-28,5.48,5.483656460232288,5.48149330510474,5.479329520862162
2019-10-29,5.4925,5.489848434939244,5.4878108412507896,5.485402485650385
2019-10-30,5.4725,5.477583114021675,5.475061722588771,5.474315170151062
2019-10-31,5.445,5.458044279988067,5.455705768667626,5.4528798596321675
2019-11-01,5.4685,5.45892177147333,5.457226133370414,5.4519242061437385
2019-11-04,5.515,5.486912321919493,5.485329313002462,5.482042722826261
2019-11-05,5.53,5.519416086184606,5.517679615398301,5.51692486230754
2019-11-06,5.515,5.528935621237456,5.526615842520521,5.526126025913609
2019-11-07,5.525,5.532603985994524,5.530638269885274,5.528239988047089
2019-11-08,5.495,5.504179887535458,5.501443170437792,5.501716996951812
2019-11-11,5.485,5.492812416598548,5.490681227162068,5.487518342568909
2019-11-12,5.4973,5.486291900040173,5.484159800003378,5.481028649965086
2019-11-13,5.4848,5.479012362660248,5.476545143724883,5.474856802700355
2019-11-14,5.5445,5.523634216828254,5.522370005935054,5.516989052138333
2019-11-15,5.5003,5.502679241264205,5.5003166708573685,5.501739804588461
2019-11-18,5.5352,5.539430226883579,5.538241227616033,5.532130792214947
2019-11-19,5.5292,5.52191073861872,5.519600242315951,5.519477961838371
2019-11-20,5.5443,5.544570720143876,5.542620028201596,5.539969719894697
2019-11-21,5.59,5.573900857729113,5.572312043806962,5.570343073572813
2019-11-22,5.525,5.544050506343193,5.541139444148916,5.544345166238144
2019-11-25,5.5441,5.556543993077046,5.555347307968095,5.54966572254642
2019-11-26,5.545,5.531815455109117,5.529326644851134,5.529104530662219
2019-11-27,5.595,5.575729818922188,5.574117000685646,5.571322958698734
2019-11-28,5.5775,5.5751362853556685,5.572774842816197,5.574786191548803
2019-11-29,5.57,5.583865128702998,5.581613567409399,5.58018970470905
2019-12-02,5.5967,5.5886673833479055,5.586668621727833,5.584941508737511
2019-12-03,5.7,5.660480678219341,5.659809225672763,5.657910260531312
2019-12-04,5.6675,5.67061329392984,5.669374116214548,5.675651717936749
2019-12-05,5.665,5.695547746170313,5.69340979935186,5.69421738280075
2019-12-06,5.6737,5.676283346873755,5.673695829893769,5.676507829936489
2019-12-09,5.675,5.673389580037399,5.67057957039602,5.674246487624159
2019-12-10,5.5522,5.590697931844444,5.586950863433235,5.592374442051314
2019-12-11,5.7,5.661841221130671,5.662280580201798,5.65141914383621
2019-12-12,5.8191,5.7300690800559835,5.731940055614927,5.734438682963626
2019-12-13,5.8231,5.824106097258212,5.823953492899473,5.831470550065698
2019-12-16,5.766,5.820632455344967,5.817321913299905,5.8250886405190325
2019-12-17,5.7596,5.787068072897978,5.784695729614082,5.787772678729739
2019-12-18,5.7519,5.748164828196894,5.744853567809957,5.750699246072088
2019-12-19,5.7405,5.7351344218108835,5.731859703279748,5.7366657124753235
2019-12-20,5.7119,5.710533594943262,5.707229214205218,5.710973118961509
2019-12-23,5.7299,5.7134811374507875,5.711015897558683,5.711051835419171
2019-12-24,5.68,5.675554167271006,5.672189056892521,5.675473750222231
2019-12-25,5.68,5.675601129471213,5.673685497140115,5.669999318772564
2019-12-26,5.723,5.688259316533683,5.686218401381078,5.683582909015733
2019-12-27,5.725,5.705444790642028,5.703159334347855,5.703557118460414
2019-12-30,5.72,5.721960579508876,5.719610769717306,5.718345196041665
2019-12-31,5.7,5.706064432209287,5.703540310866596,5.702323447573217
2020-01-01,5.7,5.69845170472547,5.696291232601772,5.693297065073891
2020-01-02,5.7125,5.69951027999283,5.697329145187402,5.694866813458494
2020-01-03,5.72,5.7093930324164335,5.707172338811251,5.705444884069999
2020-01-06,5.688,5.695129958298923,5.692497280219153,5.691553346493643
2020-01-07,5.7227,5.7138458140226,5.712364820670252,5.706998289527901
2020-01-08,5.685,5.683472377240423,5.680809812421044,5.681076209096103
2020-01-09,5.695,5.697103339507732,5.695477533078978,5.689987779562083
2020-01-10,5.662000000000001,5.661593070987209,5.658999551400699,5.657154815010232
2020-01-13,5.665,5.662795291087754,5.661089463917481,5.654997032162072
2020-01-14,5.6594,5.648741837628501,5.646572097968142,5.642386449270697
2020-01-15,5.6798,5.666565182036257,5.664852282797053,5.659129141944263
2020-01-16,5.67,5.664789476620605,5.662665360994824,5.659255858776251
2020-01-17,5.635,5.6482436973339185,5.646048710504978,5.641532600765845
2020-01-20,5.65,5.646352083535805,5.644976194950136,5.637167418074306
2020-01-21,5.6825,5.6597844073713315,5.658206557070589,5.652789554069669
2020-01-22,5.665,5.664536054902721,5.6624497538233145,5.659651228318768
2020-01-23,5.5794,5.615117359073899,5.61277622489366,5.60867501829362
2020-01-24,5.585,5.5908729729375,5.59070282876799,5.578357559116379
2020-01-27,5.585,5.561681066041309,5.5597887178500125,5.552774112360401
2020-01-28,5.572,5.564165328036185,5.562377566656921,5.554580182595399
2020-01-29,5.5563,5.556029283568166,5.554442613305482,5.545402612189148
2020-01-30,5.505,5.516540918611583,5.51486924611765,5.505736488271868
2020-01-31,5.4863,5.490493060132562,5.489832397528921,5.47634441683506
2020-02-03,5.4349,5.437161195403995,5.435904148007397,5.423981774956305
2020-02-04,5.3898,5.39658282466154,5.396371815936507,5.38018197952784
2020-02-05,5.41,5.389198392742072,5.389117370036218,5.370717360480972
2020-02-06,5.425,5.3978965545402735,5.397130536087145,5.382377699177301
2020-02-07,5.4141,5.412266064438064,5.411384642928664,5.397267521871228
2020-02-10,5.4107,5.417775702391716,5.417124113911645,5.401883948600258
2020-02-11,5.407,5.411944557326419,5.411145004893147,5.39695824558867
2020-02-12,5.3411,5.366988148569499,5.365726029404049,5.353187139248869
2020-02-13,5.3309,5.34552615379579,5.345788586027429,5.32718001912714
2020-02-14,5.3217,5.314673876847606,5.3138696162676045,5.298528225498688
2020-02-17,5.335,5.325738682950424,5.3251844313626595,5.309080569516427
2020-02-18,5.3559,5.3454999104856515,5.34493343455926,5.330271072781002
2020-02-19,5.3511,5.356202714497609,5.355337527617461,5.342637674045617
2020-02-20,5.32,5.3427793072974685,5.3416853055424545,5.329043136241615
2020-02-21,5.32,5.332568436783272,5.331992379353595,5.317239941530695
2020-02-24,5.3317,5.328727707125969,5.327850550203538,5.314989987352271
2020-02-25,5.3739,5.362709041771438,5.3622071098457305,5.3497295867710335
2020-02-26,5.4399,5.422614313824393,5.422635431279825,5.412292408256938
2020-02-27,5.4051,5.428172808136304,5.426982733281768,5.422614443528743
2020-02-28,5.4658,5.4801483755763325,5.48005526468251,5.469455627585066
2020-03-02,5.4252,5.443053430254325,5.4412311778348155,5.440063623993783
2020-03-03,5.4436,5.46502094202756,5.463965078808384,5.456560724034765
2020-03-04,5.44,5.4435220081029225,5.441489651291404,5.438663521281651
2020-03-05,5.435,5.444659388365549,5.442660783731623,5.43878607752467
2020-03-06,5.5193,5.496730584590734,5.4960652471107485,5.489650022042106
2020-03-09,5.51,5.505869108360755,5.5045897412790845,5.505866874172729
2020-03-10,5.525,5.543629174057987,5.54195037577114,5.539489118195853
2020-03-11,5.52,5.530857463564398,5.528540033005019,5.528848461967958
2020-03-12,5.6312,5.605560735808002,5.605170086756003,5.601390172665484
2020-03-13,5.515,5.544635455287008,5.543139388493346,5.551011406105232
2020-03-16,5.6,5.613715119008145,5.613775474326929,5.60537755673546
2020-03-17,5.59,5.570759615872283,5.56885625070521,5.574249576663258
2020-03-18,5.6261,5.6272318646260855,5.625336208780601,5.625510862642155
2020-03-19,5.6056,5.611166283644568,5.608293931785192,5.612999126985158
2020-03-20,5.645,5.64318474443268,5.641266285142307,5.64127976646088
2020-03-23,5.655,5.64562836462573,5.6431333312359495,5.647464453047145
2020-03-24,5.7214,5.7055736296809165,5.704001980717146,5.705588330935378
2020-03-25,5.63,5.656719682552385,5.6533988028944,5.662668344233033
2020-03-26,5.75,5.737415549915498,5.737180062287989,5.731890373043296
2020-03-27,5.715,5.697880041252259,5.6968740444699595,5.705994254936795
2020-03-30,5.75,5.760367487526837,5.758422375727781,5.7599217451460545
2020-03-31,5.765,5.755401655189571,5.752722549243112,5.759136443616821
2020-04-01,5.685,5.714071337116393,5.710085404874186,5.718181930850514
2020-04-02,5.765,5.750634891066093,5.749628501406675,5.746496112322016
2020-04-03,5.75,5.724745122948724,5.722306301366339,5.729872163323321
2020-04-06,5.815,5.799727435813509,5.798001145664786,5.798896716832855
2020-04-07,5.855,5.831088064661889,5.8293258155721235,5.835523423313275
2020-04-08,5.78,5.810785561188782,5.807049413681687,5.816549016562602
2020-04-09,5.83,5.8346116171685365,5.833210403475598,5.83229555263859
2020-04-10,5.83,5.809781995606642,5.806823019173681,5.814318969099786
2020-04-13,5.82,5.823178410469702,5.8200226496579255,5.825121682047251
2020-04-14,5.685,5.7256301189950545,5.721880734546547,5.727938432739668
2020-04-15,5.775,5.751169162377696,5.751586447773142,5.741335350531185
2020-04-16,5.76,5.712744363556867,5.710858794093557,5.7147355036102905
2020-04-17,5.76,5.75623352206278,5.753854941993321,5.752163081245388
